TIME_PERIOD,variable,value,Country,Frequency
2020-09-01,PCPI_IX,106.62,LU,M
2020-10-01,PCPI_IX,106.59,LU,M
2020-11-01,PCPI_IX,106.37,LU,M
2020-12-01,PCPI_IX,106.67,LU,M
2021-01-01,PCPI_IX,107.38,LU,M
2021-02-01,PCPI_IX,106.64,LU,M
2021-03-01,PCPI_IX,108.14,LU,M
2021-04-01,PCPI_IX,108.19,LU,M
2021-05-01,PCPI_IX,108.5,LU,M
2021-06-01,PCPI_IX,108.68,LU,M
2021-07-01,PCPI_IX,108.26,LU,M
2021-08-01,PCPI_IX,109.31,LU,M
2021-09-01,PCPI_IX,109.47,LU,M
2021-10-01,PCPI_IX,110.45,LU,M
2021-11-01,PCPI_IX,111.18,LU,M
2021-12-01,PCPI_IX,111.09,LU,M
2022-01-01,PCPI_IX,111.22,LU,M
2022-02-01,PCPI_IX,113.64,LU,M
2022-03-01,PCPI_IX,114.78,LU,M
2022-04-01,PCPI_IX,115.72,LU,M
2022-05-01,PCPI_IX,115.87,LU,M
2022-06-01,PCPI_IX,116.75,LU,M
2022-07-01,PCPI_IX,115.58,LU,M
2022-08-01,PCPI_IX,116.7,LU,M
2022-09-01,PCPI_IX,117,LU,M
2022-10-01,PCPI_IX,118.02,LU,M
2022-11-01,PCPI_IX,117.78,LU,M
2022-12-01,PCPI_IX,117.06,LU,M
2023-01-01,PCPI_IX,116.59,LU,M
2023-02-01,PCPI_IX,118.54,LU,M
2023-03-01,PCPI_IX,118.91,LU,M
2023-04-01,PCPI_IX,119.99,LU,M
2023-05-01,PCPI_IX,120.07,LU,M
2023-06-01,PCPI_IX,120.46,LU,M
2023-07-01,PCPI_IX,119.91,LU,M
2023-08-01,PCPI_IX,121.65,LU,M
2023-09-01,PCPI_IX,121.74,LU,M
2023-10-01,PCPI_IX,121.75,LU,M
2023-11-01,PCPI_IX,121.35,LU,M
2023-12-01,PCPI_IX,121.17,LU,M
2015-01-01,PCPI_IX,86.7944496264665,DO,M
2015-02-01,PCPI_IX,86.971085494442,DO,M
2015-03-01,PCPI_IX,87.0962025675913,DO,M
2015-04-01,PCPI_IX,86.875407732622,DO,M
2015-05-01,PCPI_IX,87.1256418789206,DO,M
2015-06-01,PCPI_IX,87.4789136148716,DO,M
2015-07-01,PCPI_IX,87.6923486220087,DO,M
2015-08-01,PCPI_IX,87.9720220796366,DO,M
2015-09-01,PCPI_IX,88.1118588084505,DO,M
2015-10-01,PCPI_IX,88.7668834855264,DO,M
2015-11-01,PCPI_IX,88.9140800421726,DO,M
2015-12-01,PCPI_IX,88.9950381483281,DO,M
2016-01-01,PCPI_IX,88.9876783204958,DO,M
2016-02-01,PCPI_IX,88.4872100278985,DO,M
2016-03-01,PCPI_IX,88.4798502000662,DO,M
2016-04-01,PCPI_IX,88.3988920939107,DO,M
2016-05-01,PCPI_IX,88.6196869288801,DO,M
2016-06-01,PCPI_IX,89.1495945328067,DO,M
2016-07-01,PCPI_IX,89.3188705729499,DO,M
2016-08-01,PCPI_IX,89.2673517781237,DO,M
2016-09-01,PCPI_IX,89.3041509172852,DO,M
2016-10-01,PCPI_IX,89.5764645470808,DO,M
2016-11-01,PCPI_IX,89.6942217923978,DO,M
2016-12-01,PCPI_IX,90.5038028539522,DO,M
2017-01-01,PCPI_IX,91.063149769208,DO,M
2017-02-01,PCPI_IX,91.4458608164883,DO,M
2017-03-01,PCPI_IX,91.2618651206805,DO,M
2017-04-01,PCPI_IX,91.5047394391468,DO,M
2017-05-01,PCPI_IX,91.3722625381652,DO,M
2017-06-01,PCPI_IX,91.4237813329914,DO,M
2017-07-01,PCPI_IX,91.5856975453022,DO,M
2017-08-01,PCPI_IX,92.1082453213965,DO,M
2017-09-01,PCPI_IX,92.6970315479815,DO,M
2017-10-01,PCPI_IX,92.6970315479815,DO,M
2017-11-01,PCPI_IX,93.4035750198835,DO,M
2017-12-01,PCPI_IX,94.308833843258,DO,M
2018-01-01,PCPI_IX,94.5811474730536,DO,M
2018-02-01,PCPI_IX,94.4781098834012,DO,M
2018-03-01,PCPI_IX,94.8313816193522,DO,M
2018-04-01,PCPI_IX,95.2067328388002,DO,M
2018-05-01,PCPI_IX,95.4569669850988,DO,M
2018-06-01,PCPI_IX,95.6556823365713,DO,M
2018-07-01,PCPI_IX,95.6409626809067,DO,M
2018-08-01,PCPI_IX,95.6704019922359,DO,M
2018-09-01,PCPI_IX,95.7440002705591,DO,M
2018-10-01,PCPI_IX,95.9574352776961,DO,M
2018-11-01,PCPI_IX,95.6188831974097,DO,M
2018-12-01,PCPI_IX,95.412808018105,DO,M
2019-01-01,PCPI_IX,95.2508918057941,DO,M
2019-02-01,PCPI_IX,95.6041635417451,DO,M
2019-03-01,PCPI_IX,96.2297489074917,DO,M
2019-04-01,PCPI_IX,96.7375770279213,DO,M
2019-05-01,PCPI_IX,96.708137716592,DO,M
2019-06-01,PCPI_IX,96.5315018486165,DO,M
2019-07-01,PCPI_IX,96.9804513463876,DO,M
2019-08-01,PCPI_IX,97.3116435988417,DO,M
2019-09-01,PCPI_IX,97.6796349904574,DO,M
2019-10-01,PCPI_IX,98.3346596675332,DO,M
2019-11-01,PCPI_IX,98.7026510591489,DO,M
2019-12-01,PCPI_IX,98.9013664106213,DO,M
2020-01-01,PCPI_IX,99.2251988352431,DO,M
2020-02-01,PCPI_IX,99.1000817620938,DO,M
2020-03-01,PCPI_IX,98.5848938138318,DO,M
2020-04-01,PCPI_IX,97.7753127522774,DO,M
2020-05-01,PCPI_IX,97.6649153347927,DO,M
2020-06-01,PCPI_IX,99.3282364248955,DO,M
2020-07-01,PCPI_IX,101.197632694303,DO,M
2020-08-01,PCPI_IX,101.98513427236,DO,M
2020-09-01,PCPI_IX,102.595999982442,DO,M
2020-10-01,PCPI_IX,103.276,DO,M
2020-11-01,PCPI_IX,103.893,DO,M
2020-12-01,PCPI_IX,104.394,DO,M
2021-01-01,PCPI_IX,105.404,DO,M
2021-02-01,PCPI_IX,106.124,DO,M
2021-03-01,PCPI_IX,106.764,DO,M
2021-04-01,PCPI_IX,107.206,DO,M
2021-05-01,PCPI_IX,107.901,DO,M
2021-06-01,PCPI_IX,108.585,DO,M
2021-07-01,PCPI_IX,109.168,DO,M
2021-08-01,PCPI_IX,110.04,DO,M
2021-09-01,PCPI_IX,110.535,DO,M
2021-10-01,PCPI_IX,111.244,DO,M
2021-11-01,PCPI_IX,112.446,DO,M
2021-12-01,PCPI_IX,113.263,DO,M
2022-01-01,PCPI_IX,114.602,DO,M
2022-02-01,PCPI_IX,115.658,DO,M
2022-03-01,PCPI_IX,116.431,DO,M
2022-04-01,PCPI_IX,117.544,DO,M
2022-05-01,PCPI_IX,118.122,DO,M
2022-06-01,PCPI_IX,118.877,DO,M
2022-07-01,PCPI_IX,119.468,DO,M
2022-08-01,PCPI_IX,119.718,DO,M
2022-09-01,PCPI_IX,120.07,DO,M
2022-10-01,PCPI_IX,120.405,DO,M
2022-11-01,PCPI_IX,120.966,DO,M
2022-12-01,PCPI_IX,122.128,DO,M
2023-01-01,PCPI_IX,122.903,DO,M
2023-02-01,PCPI_IX,123.035,DO,M
2023-03-01,PCPI_IX,123.299,DO,M
2023-04-01,PCPI_IX,123.6,DO,M
2023-05-01,PCPI_IX,123.356,DO,M
2023-06-01,PCPI_IX,123.627,DO,M
2023-07-01,PCPI_IX,124.1884,DO,M
2023-08-01,PCPI_IX,124.8282,DO,M
2023-09-01,PCPI_IX,125.3654,DO,M
2023-10-01,PCPI_IX,125.6376,DO,M
2023-11-01,PCPI_IX,125.8094,DO,M
2023-12-01,PCPI_IX,126.4866,DO,M
2015-01-01,PCPI_IX,68.0981864826699,GN,M
2015-02-01,PCPI_IX,68.7217197024163,GN,M
2015-03-01,PCPI_IX,69.3036178561366,GN,M
2015-04-01,PCPI_IX,69.8260472814779,GN,M
2015-05-01,PCPI_IX,69.9435953104217,GN,M
2015-06-01,PCPI_IX,70.3726292923008,GN,M
2015-07-01,PCPI_IX,70.7403916765657,GN,M
2015-08-01,PCPI_IX,71.1566330230424,GN,M
2015-09-01,PCPI_IX,71.7883448347151,GN,M
2015-10-01,PCPI_IX,72.161011152612,GN,M
